Serial No.,Movie Title,Release Month,Release Year,Genre,Type,Country of Origin,Language,Duration (minutes),Director,Cast,IMDb Rating,Rotten Tomatoes (%),Box Office Collection (in millions),Liked By (Number of People),Preferred by Generation,Age Suitability,Streaming Platform,Awards Won,Keywords / Tags,Recommendation Score
1349,Hidden Truths 1349,July,1994,Mystery,Series,India,English,162,Sofia Coppola,"Robert Pattinson, Zoë Kravitz",7,80,75,7026119,Gen X,16+,Prime Video,Oscar,"Fantasy, Romance",70
1350,Fading Stars 1350,October,2019,Romance/Drama,Movie,UK,English,123,Anurag Kashyap,"Song Kang-ho, Lee Sun-kyun",8.5,65,275,571330,"Gen Z, Millennials",R,HBO Max,Oscar,"Mystery, Thriller",82
1351,Dreamscape 1351,May,2007,Sci-Fi/Thriller,Movie,France,German,141,Hayao Miyazaki,"Kim Soo-hyun, Kim Ji-won",7.8,91,533,368973,Gen Z,18+,Disney+,K-Drama Awards,"Adventure, Tragedy",93
1352,The Last Voyage 1352,May,1997,Mystery,Movie,India,German,197,James Cameron,"Scarlett Johansson, Adam Driver",7.6,88,2485,7048849,Gen X,18+,Hulu,Golden Globe,"Fantasy, Adventure",73
1353,Shattered Memories 1353,July,2022,Crime/Comedy/Drama,Movie,USA,English,93,Greta Gerwig,"Chris Evans, Emily Blunt",6,84,1392,8672716,"Gen Z, Millennials",PG-13,Hulu,Baeksang Nominee,"Fantasy, Adventure",88
1354,Beyond Horizon 1354,July,2025,Documentary,Movie,USA,Korean,161,Guillermo del Toro,"Kim Soo-hyun, Kim Ji-won",8.4,88,2688,503135,Gen Z,18+,HBO Max,Golden Globe,"Mystery, Drama",86
1355,Fading Stars 1355,June,1999,Sci-Fi/Thriller,Series,France,French,178,Anurag Kashyap,"Robert Pattinson, Zoë Kravitz",8.6,52,1856,9350667,Gen Z,PG-13,Netflix,Golden Globe,"Thriller, Comedy",94
1356,Hidden Truths 1356,June,1997,Animation,Movie,South Korea,English,104,Sofia Coppola,"Robert Pattinson, Zoë Kravitz",8.1,86,487,8619762,Gen Z,PG,HBO Max,Baeksang Nominee,"Sci-Fi, Adventure",94
1357,Eternal Shadows 1357,December,1997,Animation,Movie,USA,German,167,James Cameron,"Leonardo DiCaprio, Kate Winslet",7.4,60,2561,1496503,"Gen Z, Millennials",PG,HBO Max,None,"Tragedy, Comedy",86
1358,Beyond Horizon 1358,June,2012,Sci-Fi/Thriller,Movie,Germany,Korean,144,David Fincher,"Robert Pattinson, Zoë Kravitz",9.3,60,513,8480205,Gen X,PG,Prime Video,None,"Fantasy, Romance",94
1359,Fading Stars 1359,May,2018,Horror,Movie,India,Korean,159,James Cameron,"Scarlett Johansson, Adam Driver",9.2,81,926,7687071,"Gen Z, Millennials",18+,Hulu,Golden Globe,"Mystery, Adventure",90
1360,Crimson Dawn 1360,May,1996,Horror,Series,USA,Korean,72,James Cameron,"Tom Hanks, Emma Watson",6.2,66,1768,659193,"Gen Z, Millennials",PG-13,HBO Max,Golden Globe,"Romance, Adventure",86
1361,Hidden Truths 1361,August,2020,Romance/Drama,Movie,Canada,Japanese,169,David Fincher,"Ranbir Kapoor, Alia Bhatt",7,83,1988,9720923,Gen X,PG-13,Prime Video,None,"Comedy, Mystery",70
1362,Eternal Shadows 1362,November,2013,Documentary,Series,Canada,Japanese,94,Guillermo del Toro,"Kim Soo-hyun, Kim Ji-won",6.8,87,270,6255433,Millennials,PG-13,HBO Max,None,"Comedy, Drama",73
1363,Shattered Memories 1363,September,1994,Documentary,Series,Japan,Hindi,126,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",6.6,56,1782,753049,Gen Z,PG-13,Netflix,Golden Globe,"Thriller, Adventure",79
1364,Crimson Dawn 1364,August,2012,Fantasy,Movie,France,Spanish,131,Park Chan-wook,"Henry Cavill, Anya Taylor-Joy",7.2,56,1584,4376492,Gen Z,18+,Netflix,Cannes Winner,"Romance, Action",71
1365,The Last Voyage 1365,November,2006,Documentary,Series,France,English,105,Anurag Kashyap,"Brad Pitt, Margot Robbie",8.4,79,2648,5011318,"Gen Z, Millennials",18+,Hulu,Golden Globe,"Action, Romance",70
1366,Crimson Dawn 1366,April,2008,Documentary,Series,France,Hindi,92,Park Chan-wook,"Robert Pattinson, Zoë Kravitz",9.1,64,1338,9941909,Gen Z,16+,Disney+,Baeksang Nominee,"Adventure, Thriller",100
1367,Neon Nights 1367,June,2025,Action/Adventure,Movie,USA,Hindi,159,Guillermo del Toro,"Robert Pattinson, Zoë Kravitz",9.1,56,723,5888636,Gen Z,R,Hulu,K-Drama Awards,"Comedy, Adventure",97
1368,The Last Voyage 1368,August,2015,Action/Adventure,Series,Germany,German,90,Hayao Miyazaki,"Robert Pattinson, Zoë Kravitz",6.8,100,2306,4745249,Gen X,16+,HBO Max,Golden Globe,"Mystery, Sci-Fi",96
1369,Crimson Dawn 1369,February,2025,Romance/Drama,Movie,USA,German,189,Bong Joon-ho,"Tom Hanks, Emma Watson",8.9,84,925,5035683,Gen X,PG,Prime Video,Oscar,"Action, Mystery",85
1370,The Last Voyage 1370,January,2005,Animation,Movie,Canada,Spanish,182,David Fincher,"Scarlett Johansson, Adam Driver",6.2,51,2093,786150,Gen Z,18+,Disney+,None,"Fantasy, Comedy",94
1371,Crimson Dawn 1371,November,2017,Action/Adventure,Movie,India,Hindi,155,Greta Gerwig,"Chris Evans, Emily Blunt",7.2,68,266,4938285,Gen Z,PG-13,Prime Video,Baeksang Nominee,"Tragedy, Comedy",81
1372,The Last Voyage 1372,July,2010,Horror,Movie,UK,Korean,188,Park Chan-wook,"Kim Soo-hyun, Kim Ji-won",6.3,79,2228,1185489,Gen X,R,Disney+,K-Drama Awards,"Drama, Mystery",93
1373,Shattered Memories 1373,March,2019,Romance/Drama,Series,France,German,166,Guillermo del Toro,"Leonardo DiCaprio, Kate Winslet",7.4,79,2863,9255257,Gen X,PG-13,Hulu,Cannes Winner,"Sci-Fi, Fantasy",98
1374,Hidden Truths 1374,February,1995,Documentary,Series,Japan,Spanish,166,Christopher Nolan,"Tom Hanks, Emma Watson",6.6,82,1734,883962,Millennials,R,Disney+,Cannes Winner,"Sci-Fi, Fantasy",74
1375,Hidden Truths 1375,January,2022,Thriller/Drama,Movie,Germany,Japanese,172,Park Chan-wook,"Tom Hanks, Emma Watson",6.4,58,1668,5363042,Gen Z,R,Netflix,Cannes Winner,"Action, Comedy",81
1376,Crimson Dawn 1376,September,2021,Thriller/Drama,Movie,France,Korean,166,Guillermo del Toro,"Song Kang-ho, Lee Sun-kyun",6.3,68,1636,3152322,Millennials,PG,HBO Max,None,"Tragedy, Action",85
1377,Dreamscape 1377,September,2022,Fantasy,Series,France,Spanish,166,Greta Gerwig,"Song Kang-ho, Lee Sun-kyun",7.2,77,1957,1287536,Millennials,PG,HBO Max,None,"Thriller, Drama",94
1378,Silent Echo 1378,October,2003,Crime/Comedy/Drama,Series,Japan,English,132,Greta Gerwig,"Chris Evans, Emily Blunt",7.6,58,1203,5838859,"Gen Z, Millennials",16+,HBO Max,Oscar,"Drama, Adventure",92
1379,Fading Stars 1379,September,2013,Documentary,Movie,Canada,Korean,110,David Fincher,"Ranbir Kapoor, Alia Bhatt",6.2,54,2140,5894110,Gen X,PG-13,Netflix,Baeksang Nominee,"Romance, Mystery",84
1380,Hidden Truths 1380,April,2016,Documentary,Series,Germany,Japanese,173,James Cameron,"Kim Soo-hyun, Kim Ji-won",7.7,99,2823,9753052,Gen Z,16+,Disney+,Cannes Winner,"Drama, Mystery",72
1381,Hidden Truths 1381,September,1996,Action/Adventure,Movie,Canada,French,200,Park Chan-wook,"Tom Hanks, Emma Watson",8.7,91,2634,4787795,"Gen Z, Millennials",PG-13,Disney+,Baeksang Nominee,"Tragedy, Romance",100
1382,Fading Stars 1382,June,1992,Action/Adventure,Series,India,French,80,Christopher Nolan,"Scarlett Johansson, Adam Driver",8.1,50,1586,9850800,Millennials,R,Netflix,Oscar,"Thriller, Comedy",72
1383,Crimson Dawn 1383,June,1995,Mystery,Movie,Japan,English,139,Christopher Nolan,"Tom Hanks, Emma Watson",7.7,60,234,9536340,Gen X,PG,Prime Video,K-Drama Awards,"Adventure, Tragedy",90
1384,Crimson Dawn 1384,July,1996,Fantasy,Movie,UK,German,197,Christopher Nolan,"Song Kang-ho, Lee Sun-kyun",6.2,76,430,1568963,Gen X,PG-13,Disney+,Baeksang Nominee,"Comedy, Mystery",100
1385,Neon Nights 1385,July,2023,Thriller/Drama,Movie,Canada,French,168,Christopher Nolan,"Song Kang-ho, Lee Sun-kyun",6.6,95,715,2051001,Gen X,PG-13,Netflix,Cannes Winner,"Thriller, Sci-Fi",81
1386,Beyond Horizon 1386,June,1996,Horror,Series,USA,Korean,71,Sofia Coppola,"Song Kang-ho, Lee Sun-kyun",7.6,74,202,2883696,Millennials,PG-13,HBO Max,Baeksang Nominee,"Drama, Romance",76
1387,Dreamscape 1387,July,2021,Sci-Fi/Thriller,Series,Japan,French,194,Anurag Kashyap,"Ranbir Kapoor, Alia Bhatt",7.6,58,1745,2218479,Millennials,18+,Netflix,Baeksang Nominee,"Adventure, Mystery",74
1388,Fading Stars 1388,July,2003,Crime/Comedy/Drama,Movie,Japan,German,197,Guillermo del Toro,"Tom Hanks, Emma Watson",8.2,100,1483,8587046,Millennials,18+,HBO Max,Cannes Winner,"Fantasy, Comedy",77
1389,Crimson Dawn 1389,June,2018,Crime/Comedy/Drama,Movie,UK,Korean,193,Bong Joon-ho,"Brad Pitt, Margot Robbie",8.4,84,2843,7380857,Gen X,16+,Disney+,None,"Action, Thriller",84
1390,Fading Stars 1390,August,1995,Animation,Series,USA,German,84,Sofia Coppola,"Ranbir Kapoor, Alia Bhatt",7.2,86,1739,7880352,Gen Z,PG,Prime Video,Baeksang Nominee,"Thriller, Drama",81
1391,Eternal Shadows 1391,February,2004,Mystery,Series,UK,Spanish,90,James Cameron,"Leonardo DiCaprio, Kate Winslet",7,67,1726,8607272,"Gen Z, Millennials",R,Netflix,Baeksang Nominee,"Sci-Fi, Drama",78
1392,The Last Voyage 1392,May,1990,Mystery,Series,Japan,English,196,Anurag Kashyap,"Scarlett Johansson, Adam Driver",8.3,62,2764,6633584,Gen Z,PG-13,Prime Video,K-Drama Awards,"Tragedy, Adventure",91
1393,Eternal Shadows 1393,March,1994,Thriller/Drama,Series,France,Hindi,148,Guillermo del Toro,"Chris Evans, Emily Blunt",6.3,53,1163,6282421,Millennials,PG,HBO Max,Oscar,"Thriller, Comedy",87
1394,Dreamscape 1394,March,2003,Action/Adventure,Movie,Germany,Hindi,107,Greta Gerwig,"Tom Hanks, Emma Watson",8.5,63,712,2277414,Millennials,R,Disney+,Oscar,"Sci-Fi, Romance",82
1395,The Last Voyage 1395,January,2005,Sci-Fi/Thriller,Movie,India,Hindi,171,James Cameron,"Chris Evans, Emily Blunt",6.8,60,775,4399167,Millennials,PG-13,Hulu,Oscar,"Drama, Mystery",77
1396,Eternal Shadows 1396,September,2018,Documentary,Movie,Germany,German,116,Greta Gerwig,"Robert Pattinson, Zoë Kravitz",6.6,74,939,2008776,Gen Z,R,Netflix,Baeksang Nominee,"Tragedy, Fantasy",97
1397,Beyond Horizon 1397,February,1992,Action/Adventure,Movie,Canada,Korean,167,Greta Gerwig,"Chris Evans, Emily Blunt",9,52,363,2847444,Gen X,PG-13,HBO Max,Cannes Winner,"Sci-Fi, Fantasy",95
1398,Hidden Truths 1398,May,1998,Documentary,Series,South Korea,Japanese,145,Sofia Coppola,"Henry Cavill, Anya Taylor-Joy",9.3,62,333,8377165,Gen X,PG,Prime Video,Cannes Winner,"Sci-Fi, Drama",75
1399,Shattered Memories 1399,October,2006,Documentary,Movie,Germany,English,144,James Cameron,"Robert Pattinson, Zoë Kravitz",8.2,50,1454,6147140,"Gen Z, Millennials",16+,Prime Video,Baeksang Nominee,"Adventure, Sci-Fi",71
1400,Eternal Shadows 1400,August,2024,Animation,Movie,South Korea,Korean,163,Greta Gerwig,"Leonardo DiCaprio, Kate Winslet",8.8,57,1688,1490404,Gen Z,R,Disney+,None,"Comedy, Mystery",82
1401,The Last Voyage 1401,May,2023,Crime/Comedy/Drama,Movie,Germany,Korean,155,Bong Joon-ho,"Tom Hanks, Emma Watson",9.2,93,1254,3679177,Gen X,PG,Hulu,Golden Globe,"Romance, Adventure",99
1402,The Last Voyage 1402,May,1991,Documentary,Series,France,Korean,110,Greta Gerwig,"Leonardo DiCaprio, Kate Winslet",7.3,61,1166,6348283,Millennials,16+,HBO Max,Baeksang Nominee,"Tragedy, Adventure",98
1403,Shattered Memories 1403,January,2023,Crime/Comedy/Drama,Series,France,German,173,James Cameron,"Brad Pitt, Margot Robbie",6.2,57,2987,3167234,Gen Z,PG,Disney+,None,"Sci-Fi, Mystery",98
1404,Neon Nights 1404,September,2000,Mystery,Movie,UK,Korean,181,Park Chan-wook,"Kim Soo-hyun, Kim Ji-won",8.9,78,1542,231969,Gen Z,R,Netflix,K-Drama Awards,"Action, Adventure",89
1405,Beyond Horizon 1405,February,2002,Crime/Comedy/Drama,Series,Germany,Japanese,112,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",6.9,76,2333,6006241,Millennials,PG-13,Netflix,Baeksang Nominee,"Mystery, Romance",82
1406,Dreamscape 1406,September,1996,Mystery,Movie,Germany,Japanese,198,Guillermo del Toro,"Kim Soo-hyun, Kim Ji-won",8.9,56,445,9018154,Millennials,18+,Disney+,Cannes Winner,"Comedy, Sci-Fi",83
1407,Crimson Dawn 1407,June,2023,Fantasy,Series,India,Korean,130,Christopher Nolan,"Chris Evans, Emily Blunt",8.7,86,1280,2926663,"Gen Z, Millennials",PG-13,Hulu,K-Drama Awards,"Tragedy, Fantasy",92
1408,Neon Nights 1408,August,2013,Animation,Movie,USA,Japanese,151,Sofia Coppola,"Tom Hanks, Emma Watson",6.2,56,2540,4255549,Millennials,PG-13,Prime Video,None,"Tragedy, Adventure",91
1409,Eternal Shadows 1409,March,2025,Horror,Series,Canada,Hindi,163,James Cameron,"Kim Soo-hyun, Kim Ji-won",6.7,70,1517,3292493,Millennials,16+,HBO Max,Baeksang Nominee,"Drama, Adventure",73
1410,Dreamscape 1410,November,1990,Romance/Drama,Series,USA,Spanish,200,Anurag Kashyap,"Robert Pattinson, Zoë Kravitz",8.3,63,145,3305384,Gen X,16+,HBO Max,None,"Fantasy, Drama",87
1411,Fading Stars 1411,August,2007,Romance/Drama,Series,South Korea,Japanese,89,Greta Gerwig,"Chris Evans, Emily Blunt",9.2,66,380,8270990,Gen X,PG-13,Hulu,Golden Globe,"Adventure, Fantasy",92
1412,Crimson Dawn 1412,September,1999,Horror,Series,France,French,139,David Fincher,"Robert Pattinson, Zoë Kravitz",6.4,86,762,8066702,Millennials,PG,Prime Video,Cannes Winner,"Adventure, Action",90
1413,The Last Voyage 1413,May,2012,Animation,Series,India,Hindi,190,Sofia Coppola,"Scarlett Johansson, Adam Driver",8.1,80,2535,6073333,Gen Z,PG-13,Hulu,K-Drama Awards,"Thriller, Romance",70
1414,Neon Nights 1414,June,2021,Animation,Movie,Germany,English,177,Bong Joon-ho,"Chris Evans, Emily Blunt",8.4,76,2219,9512612,"Gen Z, Millennials",16+,Disney+,Cannes Winner,"Fantasy, Thriller",96
1415,The Last Voyage 1415,March,2006,Fantasy,Movie,Japan,German,122,Guillermo del Toro,"Kim Soo-hyun, Kim Ji-won",7,68,2606,6187864,Millennials,PG,Disney+,None,"Action, Thriller",92
1416,Dreamscape 1416,July,2024,Animation,Series,Japan,Hindi,144,Guillermo del Toro,"Robert Pattinson, Zoë Kravitz",6.2,99,1311,2896940,Gen X,R,Hulu,None,"Adventure, Tragedy",81
1417,Silent Echo 1417,August,1995,Sci-Fi/Thriller,Series,Germany,French,162,James Cameron,"Tom Hanks, Emma Watson",7.8,60,489,5818100,Gen X,16+,Hulu,Baeksang Nominee,"Mystery, Sci-Fi",85
1418,Hidden Truths 1418,June,2011,Romance/Drama,Series,India,German,86,David Fincher,"Tom Hanks, Emma Watson",6.3,53,1577,8406819,Gen Z,R,Hulu,K-Drama Awards,"Action, Adventure",99
1419,The Last Voyage 1419,March,2022,Thriller/Drama,Movie,Japan,French,151,James Cameron,"Robert Pattinson, Zoë Kravitz",6.7,93,1232,872081,Gen Z,R,Hulu,Cannes Winner,"Sci-Fi, Comedy",90
1420,Eternal Shadows 1420,March,2010,Crime/Comedy/Drama,Movie,India,Korean,94,Hayao Miyazaki,"Song Kang-ho, Lee Sun-kyun",6.1,59,1809,8387817,Gen Z,16+,Prime Video,None,"Comedy, Mystery",94
1421,The Last Voyage 1421,September,2003,Fantasy,Movie,South Korea,Hindi,78,David Fincher,"Chris Evans, Emily Blunt",8.5,57,336,3172894,"Gen Z, Millennials",PG-13,Netflix,K-Drama Awards,"Romance, Thriller",89
1422,Eternal Shadows 1422,April,1997,Fantasy,Series,USA,French,129,James Cameron,"Brad Pitt, Margot Robbie",9.2,82,2854,6637457,Gen Z,PG,Prime Video,K-Drama Awards,"Romance, Fantasy",87
1423,Crimson Dawn 1423,December,2017,Romance/Drama,Movie,Japan,Hindi,144,Anurag Kashyap,"Brad Pitt, Margot Robbie",6.6,90,1835,2955824,Millennials,PG-13,Prime Video,Baeksang Nominee,"Romance, Tragedy",94
1424,Fading Stars 1424,March,2012,Horror,Series,Germany,English,115,Sofia Coppola,"Scarlett Johansson, Adam Driver",7.1,50,2136,483835,"Gen Z, Millennials",PG,Hulu,K-Drama Awards,"Sci-Fi, Thriller",75
1425,Silent Echo 1425,August,1990,Action/Adventure,Movie,South Korea,German,176,Sofia Coppola,"Robert Pattinson, Zoë Kravitz",7.5,75,1559,7120894,Millennials,16+,Hulu,None,"Mystery, Drama",78
1426,The Last Voyage 1426,July,2003,Sci-Fi/Thriller,Series,Canada,Spanish,111,Christopher Nolan,"Tom Hanks, Emma Watson",7.2,60,2668,1554874,Gen Z,R,Netflix,Oscar,"Comedy, Romance",74
1427,Silent Echo 1427,September,2007,Animation,Movie,Germany,French,86,Park Chan-wook,"Leonardo DiCaprio, Kate Winslet",9,83,2559,9711440,Gen Z,PG,Netflix,None,"Romance, Thriller",71
1428,Neon Nights 1428,April,1992,Action/Adventure,Series,Germany,French,138,Guillermo del Toro,"Scarlett Johansson, Adam Driver",7.5,56,2294,7398469,Gen X,16+,Disney+,Cannes Winner,"Sci-Fi, Thriller",95
1429,Neon Nights 1429,July,1996,Horror,Movie,France,German,196,Greta Gerwig,"Leonardo DiCaprio, Kate Winslet",7.8,66,1696,5834207,Gen X,R,Prime Video,Golden Globe,"Tragedy, Comedy",93
1430,Beyond Horizon 1430,November,1990,Mystery,Movie,Canada,Korean,191,Bong Joon-ho,"Ranbir Kapoor, Alia Bhatt",8.2,54,2684,2801341,Millennials,R,HBO Max,Cannes Winner,"Adventure, Sci-Fi",99
1431,Dreamscape 1431,July,2013,Action/Adventure,Movie,Germany,Japanese,100,Hayao Miyazaki,"Leonardo DiCaprio, Kate Winslet",9.2,61,2309,3663775,Gen Z,18+,Disney+,None,"Tragedy, Drama",83
1432,Shattered Memories 1432,June,1992,Fantasy,Series,South Korea,Hindi,195,David Fincher,"Ranbir Kapoor, Alia Bhatt",6.1,91,1514,6242020,Millennials,18+,Disney+,K-Drama Awards,"Drama, Tragedy",84
1433,Dreamscape 1433,September,2005,Sci-Fi/Thriller,Movie,France,Japanese,140,Bong Joon-ho,"Scarlett Johansson, Adam Driver",6.2,52,1012,5965275,Millennials,18+,Disney+,K-Drama Awards,"Drama, Sci-Fi",98
1434,Crimson Dawn 1434,October,2008,Sci-Fi/Thriller,Series,Japan,French,95,Greta Gerwig,"Song Kang-ho, Lee Sun-kyun",6.7,95,2433,756588,"Gen Z, Millennials",R,Prime Video,Baeksang Nominee,"Tragedy, Fantasy",76
1435,Hidden Truths 1435,January,2020,Sci-Fi/Thriller,Movie,Canada,French,122,Anurag Kashyap,"Song Kang-ho, Lee Sun-kyun",8.8,79,2562,1634709,"Gen Z, Millennials",R,Hulu,Golden Globe,"Action, Sci-Fi",84
1436,Beyond Horizon 1436,February,2017,Action/Adventure,Series,UK,German,192,David Fincher,"Ranbir Kapoor, Alia Bhatt",6.4,65,126,8573813,Gen Z,R,Netflix,None,"Fantasy, Sci-Fi",89
1437,Shattered Memories 1437,July,1990,Documentary,Movie,UK,German,157,James Cameron,"Kim Soo-hyun, Kim Ji-won",6.7,54,1941,5567223,Millennials,R,Prime Video,K-Drama Awards,"Comedy, Sci-Fi",74
1438,Fading Stars 1438,September,2025,Fantasy,Movie,Japan,French,180,David Fincher,"Song Kang-ho, Lee Sun-kyun",6.8,93,187,233259,"Gen Z, Millennials",PG,HBO Max,K-Drama Awards,"Sci-Fi, Action",90
1439,Fading Stars 1439,November,2011,Sci-Fi/Thriller,Series,Germany,English,133,David Fincher,"Kim Soo-hyun, Kim Ji-won",7.5,81,2738,4758887,Millennials,R,HBO Max,Baeksang Nominee,"Sci-Fi, Drama",80
1440,Beyond Horizon 1440,May,1997,Documentary,Series,Germany,Korean,184,Sofia Coppola,"Chris Evans, Emily Blunt",6.8,55,2784,4590021,Millennials,PG,Netflix,Golden Globe,"Sci-Fi, Romance",74
1441,Fading Stars 1441,March,2015,Sci-Fi/Thriller,Movie,USA,Spanish,145,Anurag Kashyap,"Kim Soo-hyun, Kim Ji-won",7.2,96,404,489887,"Gen Z, Millennials",PG-13,HBO Max,Oscar,"Romance, Comedy",92
1442,Eternal Shadows 1442,September,2012,Horror,Movie,UK,English,190,Sofia Coppola,"Leonardo DiCaprio, Kate Winslet",7.8,86,806,7871453,"Gen Z, Millennials",PG,Hulu,Cannes Winner,"Sci-Fi, Mystery",76
1443,Dreamscape 1443,December,1997,Mystery,Movie,USA,English,71,Christopher Nolan,"Robert Pattinson, Zoë Kravitz",7.2,76,1393,6095925,Gen X,18+,Disney+,Cannes Winner,"Tragedy, Thriller",71
1444,Silent Echo 1444,February,2000,Thriller/Drama,Series,France,Korean,76,Hayao Miyazaki,"Tom Hanks, Emma Watson",6.9,62,2231,3999118,Gen Z,PG-13,Netflix,K-Drama Awards,"Sci-Fi, Drama",87
1445,Hidden Truths 1445,March,2011,Romance/Drama,Movie,South Korea,Spanish,179,Greta Gerwig,"Brad Pitt, Margot Robbie",6.9,52,2232,7415361,"Gen Z, Millennials",R,HBO Max,Oscar,"Sci-Fi, Thriller",71
1446,Beyond Horizon 1446,October,1998,Horror,Series,UK,Hindi,129,Bong Joon-ho,"Robert Pattinson, Zoë Kravitz",7.2,91,170,2806953,"Gen Z, Millennials",PG,Hulu,Cannes Winner,"Adventure, Romance",93
1447,Dreamscape 1447,September,1990,Fantasy,Series,USA,French,130,James Cameron,"Henry Cavill, Anya Taylor-Joy",7.2,85,1387,615865,Gen Z,R,Netflix,None,"Mystery, Fantasy",99
1448,Shattered Memories 1448,May,2012,Documentary,Series,South Korea,English,111,Christopher Nolan,"Kim Soo-hyun, Kim Ji-won",9.1,91,2187,3744374,Gen X,18+,Disney+,Cannes Winner,"Mystery, Drama",90
1449,Hidden Truths 1449,February,2003,Horror,Series,USA,Spanish,187,Greta Gerwig,"Chris Evans, Emily Blunt",9.3,94,690,1110539,"Gen Z, Millennials",18+,Disney+,Golden Globe,"Fantasy, Mystery",98
1450,Hidden Truths 1450,April,1998,Fantasy,Series,UK,Japanese,99,Christopher Nolan,"Kim Soo-hyun, Kim Ji-won",6.3,74,1422,875014,Gen Z,PG-13,HBO Max,Baeksang Nominee,"Drama, Comedy",85
1451,The Last Voyage 1451,September,2025,Action/Adventure,Series,USA,Spanish,178,Greta Gerwig,"Tom Hanks, Emma Watson",7.6,99,1111,9131510,Gen Z,16+,Netflix,Baeksang Nominee,"Drama, Adventure",85
1452,Shattered Memories 1452,March,2025,Sci-Fi/Thriller,Movie,France,Japanese,173,James Cameron,"Henry Cavill, Anya Taylor-Joy",6.8,71,378,5008915,Gen Z,R,Netflix,Cannes Winner,"Adventure, Mystery",72
1453,Dreamscape 1453,February,1995,Thriller/Drama,Movie,USA,Korean,135,Hayao Miyazaki,"Leonardo DiCaprio, Kate Winslet",7,73,759,3179372,Gen Z,PG,Disney+,Baeksang Nominee,"Romance, Action",81
1454,The Last Voyage 1454,July,2021,Mystery,Series,USA,Spanish,184,Anurag Kashyap,"Song Kang-ho, Lee Sun-kyun",6.8,70,2720,2837168,Gen X,R,HBO Max,Oscar,"Mystery, Drama",97
1455,The Last Voyage 1455,November,2014,Fantasy,Movie,UK,Hindi,155,Hayao Miyazaki,"Brad Pitt, Margot Robbie",6.9,74,648,6615688,"Gen Z, Millennials",PG-13,Disney+,Cannes Winner,"Romance, Sci-Fi",94
1456,Fading Stars 1456,December,2016,Fantasy,Series,Canada,Spanish,197,Anurag Kashyap,"Brad Pitt, Margot Robbie",6.8,71,153,7386884,Millennials,R,Disney+,Oscar,"Comedy, Tragedy",99
1457,Dreamscape 1457,November,1995,Romance/Drama,Movie,UK,German,172,James Cameron,"Brad Pitt, Margot Robbie",8.9,63,2830,4578430,Millennials,R,Hulu,Golden Globe,"Drama, Adventure",100
1458,Hidden Truths 1458,March,2020,Action/Adventure,Series,USA,Korean,123,Hayao Miyazaki,"Scarlett Johansson, Adam Driver",8,66,1364,8196945,Gen X,R,Netflix,K-Drama Awards,"Sci-Fi, Tragedy",70
1459,Eternal Shadows 1459,September,2014,Sci-Fi/Thriller,Movie,Germany,Korean,159,Hayao Miyazaki,"Ranbir Kapoor, Alia Bhatt",7,59,1805,7503322,Millennials,18+,HBO Max,Golden Globe,"Thriller, Sci-Fi",92
1460,Shattered Memories 1460,August,2025,Crime/Comedy/Drama,Series,South Korea,Hindi,123,Bong Joon-ho,"Henry Cavill, Anya Taylor-Joy",7.7,54,2510,7193619,"Gen Z, Millennials",18+,Disney+,Oscar,"Sci-Fi, Comedy",72
1461,Fading Stars 1461,August,1996,Documentary,Series,Canada,Japanese,110,Sofia Coppola,"Tom Hanks, Emma Watson",7.5,59,905,8787781,"Gen Z, Millennials",PG,Prime Video,Oscar,"Thriller, Comedy",89
1462,Eternal Shadows 1462,May,1999,Horror,Movie,Canada,Spanish,141,James Cameron,"Kim Soo-hyun, Kim Ji-won",9.2,91,2430,1184925,Millennials,18+,HBO Max,K-Drama Awards,"Action, Drama",87
1463,Silent Echo 1463,March,1990,Animation,Movie,UK,English,180,Sofia Coppola,"Song Kang-ho, Lee Sun-kyun",7.1,58,566,3367545,Gen Z,16+,HBO Max,Cannes Winner,"Romance, Thriller",94
1464,Crimson Dawn 1464,May,2019,Fantasy,Movie,Germany,French,95,Park Chan-wook,"Brad Pitt, Margot Robbie",6.8,100,434,2717111,Millennials,PG,HBO Max,None,"Sci-Fi, Romance",98
1465,Beyond Horizon 1465,January,2011,Fantasy,Movie,UK,Hindi,145,Bong Joon-ho,"Robert Pattinson, Zoë Kravitz",6.8,75,2865,6573815,"Gen Z, Millennials",R,Hulu,Oscar,"Fantasy, Adventure",82
1466,Crimson Dawn 1466,November,2016,Fantasy,Series,South Korea,Spanish,81,Hayao Miyazaki,"Ranbir Kapoor, Alia Bhatt",8.2,51,316,6720218,Millennials,PG-13,Disney+,None,"Adventure, Thriller",88
1467,Hidden Truths 1467,June,2013,Animation,Movie,USA,Hindi,180,Guillermo del Toro,"Leonardo DiCaprio, Kate Winslet",9.1,53,2051,9332697,"Gen Z, Millennials",18+,HBO Max,K-Drama Awards,"Adventure, Romance",78
1468,Eternal Shadows 1468,July,2000,Animation,Movie,France,Korean,92,Park Chan-wook,"Chris Evans, Emily Blunt",9,93,2740,3122132,Gen Z,R,HBO Max,Golden Globe,"Sci-Fi, Tragedy",83
